ID	Name	Description	Mark	Path	Category	Note
K00281	GLDC	glycine dehydrogenase	__+_	Glycine metabolism	Amino acid metabolism	
K00282	gcvPA	glycine dehydrogenase subunit 1	_+_+	Glycine metabolism	Amino acid metabolism	
K00265	gltB	glutamate synthase (NADPH) large chain	__+_	Glutamate metabolism	Amino acid metabolism	
K01425	glsA	glutaminase	___+	Glutamate metabolism	Amino acid metabolism	
K00266	gltD	glutamate synthase (NADPH) small chain	___-	Glutamate metabolism	Amino acid metabolism	
K00284	GLU	glutamate synthase (ferredoxin)	----	Glutamate metabolism	Amino acid metabolism	
K01476	E3.5.3.1	arginase	__++	Arginine biosynthesis	Amino acid metabolism	
K00930	argB	acetylglutamate kinase	-_--	Arginine biosynthesis	Amino acid metabolism	"M00028 Ornithine biosynthesis, glutamate => ornithine"
K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase	-___	Arginine biosynthesis	Amino acid metabolism	
K01438	argE	acetylornithine deacetylase	++__	Arginine biosynthesis	Amino acid metabolism	
K00619	argA	amino-acid N-acetyltransferase	_+__	Arginine biosynthesis	Amino acid metabolism	
K00821	argD	acetylornithine/N-succinyldiaminopimelate aminotransferase	___-	Arginine biosynthesis	Amino acid metabolism	
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase	___-	Arginine biosynthesis	Amino acid metabolism	
K01478	arcA	arginine deiminase	__++	Arginine biosynthesis	Amino acid metabolism	
K01940	argG	argininosuccinate synthase	___-	Arginine biosynthesis	Amino acid metabolism	
K01571	oadA	oxaloacetate decarboxylase (Na+ extruding) subunit alpha	---_	Pyruvate metabolism	Carbohydrate metabolism	
K00156	poxB	pyruvate dehydrogenase (quinone)	+_++	Pyruvate metabolism	Carbohydrate metabolism	
K00029	E1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	_+__	Pyruvate metabolism	Carbohydrate metabolism	
K03778	ldhA	D-lactate dehydrogenase	_-__	Pyruvate metabolism	Carbohydrate metabolism	
K18930	dld	D-lactate dehydrogenase	+-__	Pyruvate metabolism	Carbohydrate metabolism	
K00027	ME2	malate dehydrogenase (oxaloacetate-decarboxylating)	__-_	Pyruvate metabolism	Carbohydrate metabolism	
K01759	GLO1	lactoylglutathione lyase	+__+	Pyruvate metabolism	Carbohydrate metabolism	
K01596	E4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	___+	Pyruvate metabolism	Carbohydrate metabolism	
K00627	DLAT	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	___+	Pyruvate metabolism	Carbohydrate metabolism	
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	___+	Pyruvate metabolism	Carbohydrate metabolism	
K01958	PC	pyruvate carboxylase	___+	Pyruvate metabolism	Carbohydrate metabolism	
K01610	E4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	___-	Pyruvate metabolism	Carbohydrate metabolism	
K03079	ulaE	L-ribulose-5-phosphate 3-epimerase	+__+	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K21030	tarI	D-ribitol-5-phosphate cytidylyltransferase	__-_	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K00880	lyxK	L-xylulokinase	__++	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K09988	lyxA	D-lyxose ketol-isomerase	___+	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K05352	tarJ	ribitol-5-phosphate 2-dehydrogenase (NADP+)	___+	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K00040	uxuB	fructuronate reductase	___-	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K01812	uxaC	glucuronate isomerase	_-_-	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K01815	kduI	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	___-	Pentose and glucuronate interconversions	Carbohydrate metabolism	
K01621	xfp	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	---_	Pentose phosphate pathway	Carbohydrate metabolism	
K11529	gck	glycerate 2-kinase	---_	Pentose phosphate pathway	Carbohydrate metabolism	
K00616	E2.2.1.2	transaldolase	_-__	Pentose phosphate pathway	Carbohydrate metabolism	
K06859	pgi1	"glucose-6-phosphate isomerase, archaeal"	___+	Pentose phosphate pathway	Carbohydrate metabolism	
K01808	rpiB	ribose 5-phosphate isomerase B	___+	Pentose phosphate pathway	Carbohydrate metabolism	
K00874	kdgK	2-dehydro-3-deoxygluconokinase	___-	Pentose phosphate pathway	Carbohydrate metabolism	
K00852	rbsK	ribokinase	___+	Pentose phosphate pathway	Carbohydrate metabolism	
K01807	rpiA	ribose 5-phosphate isomerase A	___+	Pentose phosphate pathway	Carbohydrate metabolism	
K01647	CS	citrate synthase	-__-	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K00241	sdhC	succinate dehydrogenase cytochrome b subunit	++__	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K01676	E4.2.1.2A	"fumarate hydratase, class I"	++__	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K00240	sdhB	succinate dehydrogenase iron-sulfur subunit	_+__	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K00175	korB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	_++_	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K00031	IDH1	isocitrate dehydrogenase	___-	Citrate cycle (TCA cycle)	Carbohydrate metabolism	
K00705	malQ	4-alpha-glucanotransferase	-___	Starch and sucrose metabolism	Carbohydrate metabolism	
K16153	NA	glycogen phosphorylase/synthase	__+_	Starch and sucrose metabolism	Carbohydrate metabolism	
K16147	glgE	starch synthase (maltosyl-transferring)	_--_	Starch and sucrose metabolism	Carbohydrate metabolism	
K00690	E2.4.1.7	sucrose phosphorylase	_--_	Starch and sucrose metabolism	Carbohydrate metabolism	
K00691	mapA	maltose phosphorylase	_-_+	Starch and sucrose metabolism	Carbohydrate metabolism	
K00971	manC	mannose-1-phosphate guanylyltransferase	_+_-	Fructose and mannose metabolism	Carbohydrate metabolism	
K01809	manA	mannose-6-phosphate isomerase	_+__	Fructose and mannose metabolism	Carbohydrate metabolism	
K01840	manB	phosphomannomutase	__+_	Fructose and mannose metabolism	Carbohydrate metabolism	
K05305	FUK	fucokinase	___+	Fructose and mannose metabolism	Carbohydrate metabolism	
K01818	fucI	L-fucose/D-arabinose isomerase	___+	Fructose and mannose metabolism	Carbohydrate metabolism	
K00849	galK	galactokinase	----	Galactose metabolism	Carbohydrate metabolism	
K12308	bgaB	beta-galactosidase	_-__	Galactose metabolism	Carbohydrate metabolism	
K00917	lacC	tagatose 6-phosphate kinase	__++	Galactose metabolism	Carbohydrate metabolism	
K07406	melA	alpha-galactosidase	___+	Galactose metabolism	Carbohydrate metabolism	
K08302	gatY-kbaY	"tagatose 1,6-diphosphate aldolase GatY/KbaY"	+__+	Galactose metabolism	Carbohydrate metabolism	
K02775	gatC	galactitol PTS system EIIC component	___-	Galactose metabolism	Carbohydrate metabolism	
K07106	murQ	N-acetylmuramic acid 6-phosphate etherase	+___	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K02564	nagB	glucosamine-6-phosphate deaminase	_+__	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K12452	ascC	"CDP-4-dehydro-6-deoxyglucose reductase, E1"	_-__	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K00972	UAP1	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase	_---	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K18431	legF	"CMP-N,N'-diacetyllegionaminic acid synthase"	__-_	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K15856	rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase	_---	Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	
K02822	ulaB	ascorbate PTS system EIIB component	+_++	Ascorbate and aldarate metabolism	Carbohydrate metabolism	
K03475	ulaA	ascorbate PTS system EIIC component	+_++	Ascorbate and aldarate metabolism	Carbohydrate metabolism	
K03476	ulaG	L-ascorbate 6-phosphate lactonase	+__+	Ascorbate and aldarate metabolism	Carbohydrate metabolism	
K18120	4hbD	4-hydroxybutyrate dehydrogenase	___+	Butanoate metabolism	Carbohydrate metabolism	
K01040	gctB	"glutaconate CoA-transferase, subunit B"	___+	Butanoate metabolism	Carbohydrate metabolism	
K01039	gctA	"glutaconate CoA-transferase, subunit A"	___+	Butanoate metabolism	Carbohydrate metabolism	
K14534	abfD	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase	___+	Butanoate metabolism	Carbohydrate metabolism	
K01026	pct	propionate CoA-transferase	___+	Propanoate metabolism	Carbohydrate metabolism	
K13920	pduE	propanediol dehydratase small subunit	__++	Propanoate metabolism	Carbohydrate metabolism	
K01661	menB	naphthoate synthase	_+__	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K02551	menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	_+__	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K03183	ubiE	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"	++__	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K02361	entC	isochorismate synthase	_+__	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K01911	menE	o-succinylbenzoate---CoA ligase	_+__	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K18285	mqnE	aminodeoxyfutalosine synthase	__+_	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K11782	mqnA	chorismate dehydratase	__+_	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K11784	mqnC	cyclic dehypoxanthinyl futalosine synthase	__+_	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K19267	qorB	NAD(P)H dehydrogenase (quinone)	++++	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K03186	ubiX	flavin prenyltransferase	___+	Ubiquinone and other terpenoid-quinone biosynthesis	Biosynthesis of vitamins	
K00950	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	+___	Folate biosynthesis	Biosynthesis of vitamins	
K01633	folB	"7,8-dihydroneopterin aldolase/epimerase/oxygenase"	+++_	Folate biosynthesis	Biosynthesis of vitamins	
K01665	pabB	para-aminobenzoate synthetase component I	_++_	Folate biosynthesis	Biosynthesis of vitamins	
K06920	queC	7-cyano-7-deazaguanine synthase	___-	Queuosine biosynthesis	Biosynthesis of vitamins	
K09457	queF	7-cyano-7-deazaguanine reductase	___-	Queuosine biosynthesis	Biosynthesis of vitamins	
K02226	cobC	alpha-ribazole phosphatase	_-__	Cobalamin biosynthesis	Biosynthesis of vitamins	
K00595	cobL-cbiET	"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"	---_	Cobalamin biosynthesis	Biosynthesis of vitamins	
K02302	cysG	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase	___-	Cobalamin biosynthesis	Biosynthesis of vitamins	
K05934	cobJ	precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase	___-	Cobalamin biosynthesis	Biosynthesis of vitamins	
K02422	fliS	flagellar secretion chaperone FliS	__--	Flagellar assembly	Cellular Processes	
K02406	fliC	flagellin	_---	Flagellar assembly	Cellular Processes	
K02396	flgK	flagellar hook-associated protein 1	_---	Flagellar assembly	Cellular Processes	
K02392	flgG	flagellar basal-body rod protein FlgG	_---	Flagellar assembly	Cellular Processes	
K02400	flhA	flagellar biosynthesis protein FlhA	_-_-	Flagellar assembly	Cellular Processes	
K02413	fliJ	flagellar protein FliJ	_-_-	Flagellar assembly	Cellular Processes	
K02398	flgM	negative regulator of flagellin synthesis FlgM	_-_-	Flagellar assembly	Cellular Processes	
K02409	fliF	flagellar M-ring protein FliF	_-_-	Flagellar assembly	Cellular Processes	
K02397	flgL	flagellar hook-associated protein 3 FlgL	___-	Flagellar assembly	Cellular Processes	
K02408	fliE	flagellar hook-basal body complex protein FliE	_-_-	Flagellar assembly	Cellular Processes	
K02388	flgC	flagellar basal-body rod protein FlgC	_-_-	Flagellar assembly	Cellular Processes	
K02418	fliO	flagellar protein FliO/FliZ	_-_-	Flagellar assembly	Cellular Processes	
K02407	fliD	flagellar hook-associated protein 2	___-	Flagellar assembly	Cellular Processes	
K02389	flgD	flagellar basal-body rod modification protein FlgD	_-_-	Flagellar assembly	Cellular Processes	
K02419	fliP	flagellar biosynthesis protein FliP	_-_-	Flagellar assembly	Cellular Processes	
K02390	flgE	flagellar hook protein FlgE	_-_-	Flagellar assembly	Cellular Processes	
K02410	fliG	flagellar motor switch protein FliG	_-_-	Flagellar assembly	Cellular Processes	
K02405	fliA	RNA polymerase sigma factor FliA	_-_-	Flagellar assembly	Cellular Processes	
K02412	fliI	flagellum-specific ATP synthase	_-_-	Flagellar assembly	Cellular Processes	
K02387	flgB	flagellar basal-body rod protein FlgB	_-_-	Flagellar assembly	Cellular Processes	
K02411	fliH	flagellar assembly protein FliH	_-_-	Flagellar assembly	Cellular Processes	
K02420	fliQ	flagellar biosynthesis protein FliQ	_-_-	Flagellar assembly	Cellular Processes	
K02416	fliM	flagellar motor switch protein FliM	_-_-	Flagellar assembly	Cellular Processes	
K03409	cheX	chemotaxis protein CheX	----	Bacterial chemotaxis	Cellular Processes	
K03406	mcp	methyl-accepting chemotaxis protein	_---	Bacterial chemotaxis	Cellular Processes	
K03408	cheW	purine-binding chemotaxis protein CheW	_---	Bacterial chemotaxis	Cellular Processes	
K03410	cheC	chemotaxis protein CheC	_---	Bacterial chemotaxis	Cellular Processes	
K03411	cheD	chemotaxis protein CheD	_-_-	Bacterial chemotaxis	Cellular Processes	
K03413	cheY	"two-component system, chemotaxis family, chemotaxis protein CheY"	_-_-	Bacterial chemotaxis	Cellular Processes	
K03415	cheV	"two-component system, chemotaxis family, chemotaxis protein CheV"	___-	Bacterial chemotaxis	Cellular Processes	
K02556	motA	chemotaxis protein MotA	_-_-	Bacterial chemotaxis	Cellular Processes	
K03412	cheB	"two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase"	_-_-	Bacterial chemotaxis	Cellular Processes	
K03407	cheA	"two-component system, chemotaxis family, sensor kinase CheA"	_-_-	Bacterial chemotaxis	Cellular Processes	
K08321	lsrF	"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase"	++++	Quorum sensing	Cellular Processes	
K07813	agrB	accessory gene regulator B	__-_	Quorum sensing	Cellular Processes	
K20265	gadC	glutamate:GABA antiporter	___+	Quorum sensing	Cellular Processes	
K03666	hfq	host factor-I protein	+__+	Quorum sensing	Cellular Processes	
K07173	luxS	S-ribosylhomocysteine lyase	___-	Quorum sensing	Cellular Processes	
K11752	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	___-	Quorum sensing	Cellular Processes	
K03092	rpoN	RNA polymerase sigma-54 factor	_+__	Biofilm formation	Cellular Processes	
K03563	csrA	carbon storage regulator	_---	Biofilm formation	Cellular Processes	
K21012	pelG	polysaccharide biosynthesis protein PelG	---_	Biofilm formation	Cellular Processes	
K21011	pelF	polysaccharide biosynthesis protein PelF	--__	Biofilm formation	Cellular Processes	
K01729	algL	poly(beta-D-mannuronate) lyase	_+++	Biofilm formation	Cellular Processes	
K03590	ftsA	cell division protein FtsA	++__	Cell cycle - Caulobacter	Cellular Processes	
K03544	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	__-_	Cell cycle - Caulobacter	Cellular Processes	
K01358	clpP	"ATP-dependent Clp protease, protease subunit"	___+	Cell cycle - Caulobacter	Cellular Processes	
K03589	ftsQ	cell division protein FtsQ	___-	Cell cycle - Caulobacter	Cellular Processes	
K03781	katE	catalase	_++_	Peroxisome	Cellular Processes	
K00803	AGPS	alkyldihydroxyacetonephosphate synthase	+__+	Peroxisome	Cellular Processes	
K03760	eptA	lipid A ethanolaminephosphotransferase	+_++	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K00748	lpxB	lipid-A-disaccharide synthase	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K02536	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K02843	waaF	lipopolysaccharide heptosyltransferase II	+++_	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K06041	kdsD	arabinose-5-phosphate isomerase	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K01627	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K03270	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K03269	lpxH	"UDP-2,3-diacylglucosamine hydrolase"	++__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K00979	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)	+___	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K00912	lpxK	tetraacyldisaccharide 4'-kinase	_+__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K02517	lpxL	Kdo2-lipid IVA lauroyltransferase/acyltransferase	_+__	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	
K13018	wbpD	"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase"	__++	O-Antigen nucleotide sugar biosynthesis	Glycan biosynthesis and metabolism	
K19068	wbjC	"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"	___+	O-Antigen nucleotide sugar biosynthesis	Glycan biosynthesis and metabolism	
K17716	capD	UDP-glucose 4-epimerase	___+	O-Antigen nucleotide sugar biosynthesis	Glycan biosynthesis and metabolism	
K05879	dhaL	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL	++++	Glycerolipid metabolism	Lipid metabolism	
K05878	dhaK	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK	_+++	Glycerolipid metabolism	Lipid metabolism	
K00864	glpK	glycerol kinase	___+	Glycerolipid metabolism	Lipid metabolism	
K01613	psd	phosphatidylserine decarboxylase	_+__	Glycerophospholipid metabolism	Lipid metabolism	
K17103	CHO1	CDP-diacylglycerol---serine O-phosphatidyltransferase	_+__	Glycerophospholipid metabolism	Lipid metabolism	
K00980	tagD	glycerol-3-phosphate cytidylyltransferase	___+	Glycerophospholipid metabolism	Lipid metabolism	
K02065	mlaF	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	_+__	ABC transporters	Environmental Information Processing	phospholipid
K02066	mlaE	phospholipid/cholesterol/gamma-HCH transport system permease protein	++__	ABC transporters	Environmental Information Processing	phospholipid
K02067	mlaD	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	+++_	ABC transporters	Environmental Information Processing	phospholipid
K06861	lptB	lipopolysaccharide export system ATP-binding protein	++__	ABC transporters	Environmental Information Processing	lipopolysaccharide
K07091	lptF	lipopolysaccharide export system permease protein	+_+_	ABC transporters	Environmental Information Processing	lipopolysaccharide
K11720	lptG	lipopolysaccharide export system permease protein	++__	ABC transporters	Environmental Information Processing	lipopolysaccharide
K09808	lolC_E	lipoprotein-releasing system permease protein	++__	ABC transporters	Environmental Information Processing	Lipoprotein
K09810	lolD	lipoprotein-releasing system ATP-binding protein	_+__	ABC transporters	Environmental Information Processing	Lipoprotein
K16785	ecfT	energy-coupling factor transport system permease protein	--_+	ABC transporters	Environmental Information Processing	vitamin B7
K16786	ecfA1	energy-coupling factor transport system ATP-binding protein	--_+	ABC transporters	Environmental Information Processing	vitamin B7
K16787	ecfA2	energy-coupling factor transport system ATP-binding protein	--_+	ABC transporters	Environmental Information Processing	vitamin B7
K03523	bioY	biotin transport system substrate-specific component	__-_	ABC transporters	Environmental Information Processing	vitamin B7
K05813	ugpB	sn-glycerol 3-phosphate transport system substrate-binding protein	+__+	ABC transporters	Environmental Information Processing	sn-glycerol 3-phosphate
K05815	ugpE	sn-glycerol 3-phosphate transport system permease protein	++__	ABC transporters	Environmental Information Processing	sn-glycerol 3-phosphate
K05845	opuC	osmoprotectant transport system substrate-binding protein	_+++	ABC transporters	Environmental Information Processing	osmoprotectant
K05846	opuBD	osmoprotectant transport system permease protein	__++	ABC transporters	Environmental Information Processing	osmoprotectant
K05847	opuA	osmoprotectant transport system ATP-binding protein	__++	ABC transporters	Environmental Information Processing	osmoprotectant
K10559	rhaS	rhamnose transport system substrate-binding protein	++_+	ABC transporters	Environmental Information Processing	rhammose
K10560	rhaP	rhamnose transport system permease protein	___+	ABC transporters	Environmental Information Processing	rhammose
K10562	rhaT	rhamnose transport system ATP-binding protein	___+	ABC transporters	Environmental Information Processing	rhammose
K10117	msmE	raffinose/stachyose/melibiose transport system substrate-binding protein	--__	ABC transporters	Environmental Information Processing	Raffinose/Stachyose/Melibiose
K10119	msmG	raffinose/stachyose/melibiose transport system permease protein	--__	ABC transporters	Environmental Information Processing	Raffinose/Stachyose/Melibiose
K15770	cycB	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	_--_	ABC transporters	Environmental Information Processing	galactose oligomer/maltooligosaccharide
K15771	ganP	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	_--_	ABC transporters	Environmental Information Processing	galactose oligomer/maltooligosaccharide
K17318	lplA	putative aldouronate transport system substrate-binding protein	---_	ABC transporters	Environmental Information Processing	"Aldouronate,醛脲酸"
K17319	lplB	putative aldouronate transport system permease protein	---_	ABC transporters	Environmental Information Processing	"Aldouronate,醛脲酸"
K17320	lplC	putative aldouronate transport system permease protein	_--_	ABC transporters	Environmental Information Processing	"Aldouronate,醛脲酸"
K02747	agaE	N-acetylgalactosamine PTS system EIID component	+__+	Phosphotransferase system (PTS)	Environmental Information Processing	Galactose metabolism
K02746	agaW	N-acetylgalactosamine PTS system EIIC component	+__+	Phosphotransferase system (PTS)	Environmental Information Processing	Galactose metabolism
K02745	agaV	N-acetylgalactosamine PTS system EIIB component	+__+	Phosphotransferase system (PTS)	Environmental Information Processing	Galactose metabolism
K02082	agaS	D-galactosamine 6-phosphate deaminase/isomerase	___+	Phosphotransferase system (PTS)	Environmental Information Processing	Galactose metabolism
K19508	gfrC	fructoselysine/glucoselysine PTS system EIIC component	___+	Phosphotransferase system (PTS)	Environmental Information Processing	
K19507	gfrB	fructoselysine/glucoselysine PTS system EIIB component	__++	Phosphotransferase system (PTS)	Environmental Information Processing	
K19509	gfrD	fructoselysine/glucoselysine PTS system EIID component	+_++	Phosphotransferase system (PTS)	Environmental Information Processing	
K00339	nuoJ	NADH-quinone oxidoreductase subunit J	_+__	Oxidative phosphorylation	Energy metabolism	
